time,x,y,button,pressed
1734682961.564517,1767,32,Button.left,True
1734682961.6442509,1767,32,Button.left,False
1734682962.6286597,1425,212,Button.left,True
1734682962.8765936,1431,117,Button.left,False
1734682963.6929195,452,208,Button.left,True
1734682964.0447927,579,100,Button.left,False
1734682964.3161066,682,330,Button.left,True
1734682964.4039776,682,330,Button.left,False
1734682964.4765115,685,331,Button.left,True
1734682964.556561,690,337,Button.left,False
1734682964.6441522,731,378,Button.left,True
1734682964.7326374,731,383,Button.left,False
1734682964.828804,733,390,Button.left,True
1734682964.9084837,733,403,Button.left,False
1734682964.997075,739,425,Button.left,True
1734682965.0764933,739,428,Button.left,False
1734682965.1723473,739,448,Button.left,True
1734682965.2524638,735,466,Button.left,False
1734682965.3404891,732,483,Button.left,True
1734682965.4281156,731,491,Button.left,False
1734682965.5084748,727,504,Button.left,True
1734682965.596527,726,505,Button.left,False
1734682965.6927059,724,510,Button.left,True
1734682965.7803807,724,517,Button.left,False
1734682965.8685064,722,523,Button.left,True
1734682965.9725127,722,528,Button.left,False
1734682966.0690477,726,538,Button.left,True
1734682966.1485493,727,542,Button.left,False
1734682967.0278258,748,220,Button.left,True
1734682967.0843577,748,221,Button.left,False
1734683022.692082,1241,1065,Button.left,True
1734683022.7885454,1241,1065,Button.left,False
1734683023.9485528,694,74,Button.left,True
1734683024.0448308,694,74,Button.left,False
1734683024.3961978,495,72,Button.left,True
1734683024.4768386,495,72,Button.left,False
1734683025.6600287,663,282,Button.left,True
1734683025.7407289,663,282,Button.left,False
1734683026.0048127,776,343,Button.left,True
1734683026.1002507,776,343,Button.left,False
1734683026.3168914,825,347,Button.left,True
1734683026.4128754,825,347,Button.left,False
1734683026.7168472,869,396,Button.left,True
1734683026.796013,869,396,Button.left,False
1734683028.0045736,900,479,Button.left,True
1734683028.0758572,900,479,Button.left,False
1734683029.4286962,1757,15,Button.left,True
1734683029.4928458,1757,15,Button.left,False
1734683030.3807657,697,227,Button.left,True
1734683030.4609413,697,227,Button.left,False
1734683060.5644698,1416,116,Button.left,True
1734683060.6448386,1416,116,Button.left,False
1734683066.0687337,1625,240,Button.left,True
1734683066.1404736,1625,240,Button.left,False
1734683070.0530498,1408,113,Button.left,True
1734683070.1566794,1408,113,Button.left,False
1734683070.893009,1409,117,Button.left,True
1734683070.9734628,1409,117,Button.left,False
1734683071.6365829,1411,119,Button.left,True
1734683071.7242107,1411,119,Button.left,False
1734683072.1409297,1414,125,Button.left,True
1734683072.2129617,1414,125,Button.left,False
1734683077.6743095,1455,121,Button.left,True
1734683077.7565815,1455,121,Button.left,False
1734683079.3393638,1455,121,Button.left,True
1734683079.4525964,1455,121,Button.left,False
1734683087.9986572,735,511,Button.left,True
1734683088.0043797,735,511,Button.left,False
1734683088.033998,735,511,Button.left,True
1734683088.033998,735,511,Button.left,False
1734683088.0509129,735,511,Button.left,True
1734683088.0509129,735,511,Button.left,False
1734683088.0523853,735,511,Button.left,True
1734683088.0533948,735,511,Button.left,False
1734683088.0533948,735,511,Button.left,True
1734683088.0533948,735,511,Button.left,False
1734683088.0548506,735,511,Button.left,True
1734683088.0548506,735,511,Button.left,False
1734683088.0548506,735,511,Button.left,True
1734683088.0548506,735,511,Button.left,False
1734683088.0562713,735,511,Button.left,True
1734683088.0562713,735,511,Button.left,False
1734683088.0573528,735,511,Button.left,True
1734683088.0584435,735,511,Button.left,False
1734683088.0600164,735,511,Button.left,True
1734683088.060642,735,511,Button.left,False
1734683088.060642,735,511,Button.left,True
1734683088.0616488,735,511,Button.left,False
1734683088.0616488,735,511,Button.left,True
1734683088.0616488,735,511,Button.left,False
1734683088.0616488,735,511,Button.left,True
1734683088.0631447,735,511,Button.left,False
1734683088.0661752,735,511,Button.left,True
1734683088.067186,735,511,Button.left,False
1734683088.0682583,735,511,Button.left,True
1734683088.0682583,735,511,Button.left,False
1734683088.0682583,735,511,Button.left,True
1734683088.0682583,735,511,Button.left,False
1734683088.0682583,735,511,Button.left,True
1734683088.0682583,735,511,Button.left,False
1734683088.0682583,735,511,Button.left,True
1734683088.0682583,735,511,Button.left,False
1734683088.0682583,735,511,Button.left,True
1734683088.0682583,735,511,Button.left,False
1734683088.0682583,735,511,Button.left,True
1734683088.0682583,735,511,Button.left,False
1734683088.078595,735,511,Button.left,True
1734683088.078595,735,511,Button.left,False
1734683088.078595,735,511,Button.left,True
1734683088.078595,735,511,Button.left,False
1734683088.078595,735,511,Button.left,True
1734683088.078595,735,511,Button.left,False
1734683088.0822232,735,511,Button.left,True
1734683088.0822232,735,511,Button.left,False
1734683088.0832324,735,511,Button.left,True
1734683088.0845146,735,511,Button.left,False
1734683088.086518,735,511,Button.left,True
1734683088.0880272,735,511,Button.left,False
1734683088.13719,735,511,Button.left,True
1734683088.13719,735,511,Button.left,False
1734683088.151111,735,511,Button.left,True
1734683088.152109,735,511,Button.left,False
1734683088.152109,735,511,Button.left,True
1734683088.1534858,735,511,Button.left,False
1734683088.1554995,735,511,Button.left,True
1734683088.1554995,735,511,Button.left,False
1734683091.1407657,1034,621,Button.left,True
1734683091.2206151,1034,621,Button.left,False
1734683094.220999,730,221,Button.left,True
1734683094.3169518,730,221,Button.left,False
